,Key,Entry_data
404,"dfs_day_(3, 1)_MARSI-C_AMBUJACEM",1
405,"dfs_day_(3, 1)_MARSI-UC1_AMBUJACEM",0
406,"dfs_day_(3, 1)_MARSI-UC2_AMBUJACEM",5
407,"dfs_day_(3, 1)_RSI_AMBUJACEM",62
408,"dfs_day_(30, 10)_BB_AMBUJACEM",13
409,"dfs_day_(30, 10)_BBRSI_AMBUJACEM",12
410,"dfs_day_(30, 10)_BBRSI-UC_AMBUJACEM",13
411,"dfs_day_(30, 10)_MA_AMBUJACEM",12
412,"dfs_day_(30, 10)_MARSI-C_AMBUJACEM",1
413,"dfs_day_(30, 10)_MARSI-UC1_AMBUJACEM",0
414,"dfs_day_(30, 10)_MARSI-UC2_AMBUJACEM",5
415,"dfs_day_(30, 10)_RSI_AMBUJACEM",16
416,"dfs_hour_(1, 0.33)_BB_AMBUJACEM",348
417,"dfs_hour_(1, 0.33)_BBRSI_AMBUJACEM",238
418,"dfs_hour_(1, 0.33)_BBRSI-UC_AMBUJACEM",336
419,"dfs_hour_(1, 0.33)_MA_AMBUJACEM",155
420,"dfs_hour_(1, 0.33)_MARSI-C_AMBUJACEM",9
